date,open,high,low,close,volume,wap,count
1787126400,129.38,129.38,128.64,129.18,3711,129.348,6
1787126401,128.03,129.45,128.03,129.45,1820,128.656,7
1787126402,125,129.49,124.31,127.02,5500,126.395,32
1787126403,127.3,128.51,125.09,126.33,13758,127.386,56
1787126404,124.53,127.77,124.11,127.2,2950,126.92,16
1787126405,127.36,128.41,125.75,125.75,5867,127.434,25
1787126406,125.95,129.46,124.7,125,4889,125.889,22
1787126407,124.36,124.81,123.07,124.35,7501,123.968,39
1787126408,125.11,127.77,125.11,126.84,8732,126.933,42
1787126409,126.45,129.48,124.82,128.26,6983,127.044,31
1787126410,127.22,128.54,124.55,124.86,1711,125.265,6
1787126411,124.69,129.42,123.55,125.97,6431,126.167,24
1787126412,125,129.49,124.53,124.7,5763,125.879,23
1787126413,124.73,127.31,124.58,127.07,3901,125.369,17
1787126414,127.17,129.49,124.04,128.03,9801,127.326,23
1787126415,128.15,129.65,125.52,126.78,9378,127.277,33
1787126416,126.41,129.5,126.41,128.09,3000,127.412,17
1787126417,127.91,128.67,126.7,128.3,6215,127.768,23
1787126418,128.88,129.63,127.33,127.33,7154,128.56,25
1787126419,128.4,129.51,128.26,129.5,2416,128.715,9
1787126420,129.5,129.51,129.5,129.5,0,129.5,0
1787126421,129.5,129.51,129.5,129.5,0,129.5,0
1787126422,129.49,129.6,129.49,129.5,1327,129.521,9
1787126423,129.5,129.5,129.5,129.5,0,129.5,0
1787126424,129.55,129.55,129.54,129.55,200,129.548,1
1787126425,129.52,129.52,129.51,129.52,100,129.516,1
1787126426,129.52,129.52,129.51,129.52,0,129.52,0
1787126427,129.5,129.5,129.5,129.5,419,129.5,2
1787126428,129.55,129.55,129.54,129.55,723,129.546,1
1787126429,129.48,129.55,129.48,129.55,362,129.509,3
1787126430,129.5,129.5,129.5,129.5,100,129.5,1
1787126431,129.51,129.51,129.51,129.51,100,129.51,1
1787126432,129.54,129.54,129.51,129.51,494,129.522,2
1787126433,129.55,129.56,129.55,129.56,1777,129.559,3
1787126434,129.57,129.57,129.54,129.54,600,129.555,5
1787126435,129.58,129.58,129.58,129.58,394,129.58,2
1787126436,129.6,129.6,129.6,129.6,166,129.6,1
1787126437,129.6,129.6,129.6,129.6,0,129.6,0
1787126438,129.6,129.6,129.6,129.6,0,129.6,0
1787126439,129.6,129.6,129.57,129.57,1360,129.592,3
1787126440,129.57,129.57,129.57,129.57,0,129.57,0
1787126441,129.57,129.57,129.57,129.57,0,129.57,0
1787126442,129.57,129.57,129.57,129.57,0,129.57,0
1787126443,129.67,129.67,129.6,129.6,1200,129.659,2
1787126444,129.67,129.67,129.66,129.66,320,129.663,3
1787126445,129.66,129.66,129.66,129.66,0,129.66,0
1787126446,129.66,129.66,129.66,129.66,0,129.66,0
1787126447,129.67,129.67,129.67,129.67,100,129.67,1
1787126448,129.64,129.64,129.63,129.64,100,129.637,1
1787126449,129.64,129.64,129.63,129.64,0,129.64,0
1787126450,129.67,129.68,129.67,129.68,372,129.675,3
1787126451,129.7,129.75,129.7,129.75,262,129.731,2
1787126452,129.75,129.75,129.75,129.75,0,129.75,0
1787126453,129.79,129.79,129.79,129.79,200,129.79,2
1787126454,129.79,129.83,129.77,129.78,1262,129.8,5
1787126455,129.78,129.78,129.77,129.78,0,129.78,0
1787126456,129.78,129.78,129.77,129.78,0,129.78,0
1787126457,129.78,129.78,129.77,129.78,0,129.78,0
1787126458,129.86,129.86,129.86,129.86,100,129.86,1
1787126459,129.9,129.9,129.88,129.88,524,129.884,2
1787126460,129.9,129.9,129.9,129.9,100,129.9,1
1787126461,129.89,129.9,129.88,129.9,523,129.894,3
1787126462,129.92,129.92,127.28,127.47,19029,128.375,46
1787126463,127.86,129.99,126.41,129.99,37884,127.453,125
1787126464,127.25,129.96,123.14,123.56,46676,125.26,158
1787126465,124.73,126.8,124.73,125.4,26014,125.452,118
1787126466,126.23,130,126.23,126.45,11348,126.796,51
1787126467,126.35,129.94,126.1,126.47,11348,126.456,67
1787126468,126.22,129.99,126.14,126.91,14387,126.524,68
1787126469,126.39,129.96,126.12,129.96,16441,126.74,75
1787126470,127.03,129.9,125.72,126.96,32447,126.741,120
1787126471,126.37,129.92,125.5,126.01,47002,126.782,160
1787126472,126.63,129.88,125.44,125.79,33390,126.144,144
1787126473,126,129.85,124.89,124.97,22888,125.768,114
1787126474,125.66,125.97,124.67,125.58,16842,125.312,92
1787126475,124.88,125.97,124.7,124.82,21815,125.189,93
1787126476,125,126.5,124.67,125.19,22613,125.14,135
1787126477,124.81,126.82,124.67,125.97,24833,125.665,152
1787126478,125.9,126.86,124.67,126.37,35170,126.042,174
1787126479,126.76,126.76,124.99,126.3,22567,126.093,126
1787126480,126.33,129.85,124.89,126.45,28824,126.159,123
1787126481,126.24,129.9,124.88,125.37,20414,125.645,109
1787126482,125.8,126.71,124.88,124.89,22261,125.367,125
1787126483,124.89,126.1,124.84,124.97,23660,125.36,116
1787126484,125.9,126.1,124.78,124.78,19312,125.32,108
1787126485,125.2,126.11,124.55,125.24,26373,125.313,130
1787126486,125.66,126.04,124.54,124.85,22821,125.095,120
1787126487,124.74,129.91,124.4,124.87,23870,124.938,115
1787126488,124.62,125.55,124,124.5,48173,124.497,103
1787126489,124.11,124.96,123.97,124.4,38760,124.539,114
1787126490,124.19,129.91,123.85,124.39,21857,124.423,102
1787126491,124.11,129.91,123.62,123.83,20422,124.214,106
1787126492,124.64,124.64,123.22,123.5,20795,124.097,85
1787126493,123.69,124.63,123.22,123.3,23553,123.852,104
1787126494,123.3,124.3,123.08,123.08,24040,123.667,76
1787126495,124.25,129.9,123.15,123.82,22796,124.369,100
1787126496,123.29,124.53,123.08,124.05,17355,123.523,97
1787126497,123.59,129.9,123.1,123.31,21042,123.911,107
1787126498,124.61,129.91,123.1,123.1,13146,124.247,77
1787126499,124.83,129.86,123.24,129.83,20955,124.73,115
1787126500,124.51,129.79,123.79,124.85,23543,124.638,106
1787126501,124.31,129.79,123.79,124.55,22979,124.553,109
1787126502,124.37,129.8,123.94,124.34,17654,124.501,81
1787126503,124.27,129.75,123.95,124.78,17570,124.604,85
1787126504,124.44,129.72,123.97,125.11,17708,124.87,90
1787126505,124.61,129.7,123.94,124.37,16766,124.943,89
1787126506,125.55,129.66,123.92,125.58,26339,125.029,80
1787126507,124.56,126.76,123.95,125.1,20565,125.417,93
1787126508,126.57,126.78,124.06,124.09,21887,125.776,110
1787126509,125.44,126.78,124.2,124.69,22647,126.197,116
1787126510,126.65,129.64,125.47,126.57,20750,126.409,92
1787126511,126.75,127.36,125.53,126.57,22870,126.693,119
1787126512,126.53,129.6,125.69,126.41,21671,126.851,109
1787126513,126.71,127.51,126.27,126.27,18878,126.87,105
1787126514,127.21,129.55,126.27,126.97,19168,127.045,103
1787126515,127.48,127.8,126.3,127.78,22915,127.264,119
1787126516,127.1,129.58,126.41,127.3,19067,127.378,105
1787126517,127.25,127.84,126.78,127.27,22411,127.303,91
1787126518,127.2,127.79,126.85,127.44,18799,127.37,95
1787126519,127.3,127.82,126.53,127,17018,127.255,92
1787126520,126.6,127.85,126.39,127.51,17222,127.279,84
1787126521,126.55,127.82,126.25,127.35,18010,127.012,81
1787126522,126.92,127.79,126.25,127,19761,126.959,91
1787126523,127.17,129.53,126.3,126.93,14605,127.548,79
1787126524,127.23,129.4,126.29,127.4,14813,127.083,67
1787126525,127.27,129.36,126.41,127.02,13281,126.986,61
1787126526,126.64,127.6,126.29,127.25,12248,126.86,60
1787126527,126.55,129.39,126.3,127.05,15163,126.98,70
1787126528,127.02,127.77,126.39,127.5,20389,127.118,59
1787126529,127.2,127.79,126.45,127.69,10611,127.192,51
1787126530,127,127.9,126.78,127.04,10716,127.428,54
1787126531,127.01,129.5,126.69,127.85,17719,127.655,76
1787126532,127.89,129.48,126.67,128.05,17356,127.589,78
1787126533,128.06,129.55,126.78,127.74,10818,127.774,57
1787126534,126.85,129.62,126.67,127.6,16478,127.887,73
1787126535,128.32,128.41,127,127.94,14062,127.884,66
1787126536,127.99,129.64,127.52,128.01,12762,128.047,71
1787126537,127.73,129.72,127.73,128.35,13685,128.132,66
1787126538,128,129.71,127.8,127.93,16694,128.099,78
1787126539,128.29,129.69,127.29,127.97,10453,128.07,55
