date,open,high,low,close,volume,wap,count
1782115200,285.76,286.76,280.14,284.93,7534,284.621,20
1782115201,275.34,286.58,275.08,285.52,7641,283.337,45
1782115202,285.86,285.86,274.74,276.2,1039,282.462,8
1782115203,277.69,286.74,275.63,280.53,7066,281.652,49
1782115204,281.56,286.69,281.3,285.01,5844,284.262,31
1782115205,274.99,279.78,274.99,279.39,1454,278.12,9
1782115206,278.67,286.75,278.67,286.62,8278,283.531,47
1782115207,286.55,286.66,284.99,286.14,4446,286.217,22
1782115208,286.14,286.14,286.14,286.14,0,286.14,0
1782115209,286.14,286.14,286.14,286.14,0,286.14,0
1782115210,286.14,286.14,286.14,286.14,0,286.14,0
1782115211,286.14,286.14,286.14,286.14,0,286.14,0
1782115212,286.14,286.14,286.14,286.14,0,286.14,0
1782115213,286.14,286.14,286.14,286.14,0,286.14,0
1782115214,286,286,286,286,275,286,1
1782115215,286,286,286,286,0,286,0
1782115216,275.26,275.27,275.26,275.26,100,275.263,1
1782115217,275.72,275.73,275.12,275.13,461,275.334,2
1782115218,275.04,286,274.98,274.99,1459,278.975,8
1782115219,279.2,279.8,274.99,278.3,5094,278.192,24
1782115220,278.09,281,275.05,281,4094,279.4,23
1782115221,281.81,284.99,274.5,282.57,3653,281.934,25
1782115222,286.01,286.66,278.31,278.31,5739,283.849,34
1782115223,285.22,286.74,280.72,281,4801,284.825,25
1782115224,281.71,283.59,281.71,283.59,534,282.57,4
1782115225,284.51,286.49,284.51,286.07,1279,285.533,7
1782115226,285.84,286,284.99,286,1476,285.665,6
1782115227,286,286,286,286,0,286,0
1782115228,286.08,286.46,286.08,286.09,350,286.189,3
1782115229,286.09,286.09,286.08,286.09,0,286.09,0
1782115230,286.12,286.13,286.12,286.12,210,286.123,1
1782115231,286.12,286.13,286.12,286.12,0,286.12,0
1782115232,286.12,286.13,286.12,286.12,0,286.12,0
1782115233,286.12,286.13,286.12,286.12,0,286.12,0
1782115234,286.12,286.13,286.12,286.12,0,286.12,0
1782115235,286.62,286.62,286.61,286.62,199,286.616,1
1782115236,286.62,286.62,286.61,286.62,0,286.62,0
